id,image,label
4fIWvT19w9PR0VVBuPYpWA,4fIWvT19w9PR0VVBuPYpWA.jpg,Haven't Met You Yet
2ajUl8lBLAXOXNpG4NEPMz,2ajUl8lBLAXOXNpG4NEPMz.jpg,Sway
1FTSo4v6BOZH9QxKc3MbVM,1FTSo4v6BOZH9QxKc3MbVM.jpg,Song 2 - 2012 Remaster
3h3pOvw6hjOvZxRUseB7h9,3h3pOvw6hjOvZxRUseB7h9.jpg,i wanna be your girlfriend
3V0nnQhqvbE3JmiDdnzQFQ,3V0nnQhqvbE3JmiDdnzQFQ.jpg,July (feat. Leon Bridges)
5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI.jpg,Lonely Boy
1kqc6U8hVYZhY0gFGQclCz,1kqc6U8hVYZhY0gFGQclCz.jpg,girls
1BYZxKSf0aTxp8ZFoeyM3d,1BYZxKSf0aTxp8ZFoeyM3d.jpg,we fell in love in october
58zsLZPvfflaiIbNWoA22O,58zsLZPvfflaiIbNWoA22O.jpg,Human
1Omt5bfz1tZUCqd26HxbS0,1Omt5bfz1tZUCqd26HxbS0.jpg,Beyond
1q2Zb0v5ZGxKDktEz7wSPb,1q2Zb0v5ZGxKDktEz7wSPb.jpg,Serotonin
1M4Ud66z18wuIq3oOxqVHa,1M4Ud66z18wuIq3oOxqVHa.jpg,bad idea!
5itOtNx0WxtJmi1TQ3RuRd,5itOtNx0WxtJmi1TQ3RuRd.jpg,Giant (with Rag'n'Bone Man)
0grFc6klR3hxoHLcgCYsF4,0grFc6klR3hxoHLcgCYsF4.jpg,Howlin' for You
6M47gaKejso9772SKTa3yH,6M47gaKejso9772SKTa3yH.jpg,Face Off
62vpWI1CHwFy7tMIcSStl8,62vpWI1CHwFy7tMIcSStl8.jpg,No Role Modelz
7lQWRAjyhTpCWFC0jmclT4,7lQWRAjyhTpCWFC0jmclT4.jpg,Gangsta's Paradise
4jPy3l0RUwlUI9T5XHBW2m,4jPy3l0RUwlUI9T5XHBW2m.jpg,Mood (feat. iann dior)
501mFwKeLnybf8JO3XL66O,501mFwKeLnybf8JO3XL66O.jpg,Altar
61Emqg95O9zo1GNOcyxq4Y,61Emqg95O9zo1GNOcyxq4Y.jpg,For Tonight
5tmxPmmXvgJPU7bIukFX8p,5tmxPmmXvgJPU7bIukFX8p.jpg,Nothing Feels Better
5SixeLvPsYpk7qq9lo5xYg,5SixeLvPsYpk7qq9lo5xYg.jpg,Have Mercy
